,pipeline,rank,f1,recall,precision,confusion_matrix,status,elapsed,split,dataset,signal
0,prophet,1,0.99999999985,0.9999999999,0.9999999999,"(None, 0, 0, 1)",OK,258.623897,True,MSL,M-7
1,prophet,2,0.99999999985,0.9999999999,0.9999999999,"(None, 0, 0, 1)",OK,128.324127,True,MSL,S-2
2,prophet,3,0.99999999985,0.9999999999,0.9999999999,"(None, 0, 0, 1)",OK,201.911311,True,MSL,T-5
3,prophet,4,0.99999999985,0.9999999999,0.9999999999,"(None, 0, 0, 1)",OK,529.930824,True,MSL,P-14
4,prophet,5,0.99999999985,0.9999999999,0.9999999999,"(None, 0, 0, 1)",OK,378.80166,True,MSL,F-5
5,prophet,6,0.6666666666,0.99999999995,0.4999999999875,"(None, 2, 0, 2)",OK,159.890425,True,MSL,T-8
6,prophet,7,0.6666666665777777,0.9999999999,0.499999999975,"(None, 1, 0, 1)",OK,489.69829,True,MSL,P-10
7,prophet,8,0.6666666665777777,0.499999999975,0.9999999999,"(None, 0, 1, 1)",OK,501.70181,True,MSL,P-11
8,prophet,9,0.4999999999375,0.9999999999,0.3333333333222222,"(None, 2, 0, 1)",OK,368.800106,True,MSL,F-8
9,prophet,10,0.0,0.0,0.0,"(None, 0, 2, 0)",OK,167.398443,True,MSL,T-13
10,prophet,11,0.0,0.0,0.0,"(None, 0, 1, 0)",OK,251.794851,True,MSL,D-16
11,prophet,12,0.0,0.0,0.0,"(None, 0, 1, 0)",OK,284.052019,True,MSL,D-15
12,prophet,13,0.0,0.0,0.0,"(None, 0, 2, 0)",OK,118.961056,True,MSL,T-9
13,prophet,14,0.0,0.0,0.0,"(None, 0, 2, 0)",OK,425.46511,True,MSL,D-14
14,prophet,15,0.0,0.0,0.0,"(None, 0, 1, 0)",OK,276.01403,True,MSL,F-4
15,prophet,16,0.0,0.0,0.0,"(None, 0, 1, 0)",OK,221.621846,True,MSL,M-6
16,prophet,17,0.0,0.0,0.0,"(None, 0, 1, 0)",OK,160.912155,True,MSL,T-12
17,prophet,18,0.0,0.0,0.0,"(None, 0, 1, 0)",OK,271.853074,True,MSL,M-1
18,prophet,19,0.0,0.0,0.0,"(None, 0, 2, 0)",OK,206.74959,True,MSL,C-1
19,prophet,20,0.0,0.0,0.0,"(None, 0, 1, 0)",OK,332.002725,True,MSL,P-15
20,prophet,21,0.0,0.0,0.0,"(None, 0, 1, 0)",OK,202.871314,True,MSL,M-5
21,prophet,22,0.0,0.0,0.0,"(None, 0, 1, 0)",OK,187.121355,True,MSL,M-4
22,prophet,23,0.0,0.0,0.0,"(None, 0, 1, 0)",OK,186.037272,True,MSL,M-3
23,prophet,24,0.0,0.0,0.0,"(None, 0, 3, 0)",OK,366.753131,True,MSL,F-7
24,prophet,25,0.0,0.0,0.0,"(None, 0, 1, 0)",OK,206.54707,True,MSL,T-4
25,prophet,26,0.0,0.0,0.0,"(None, 0, 1, 0)",OK,222.909944,True,MSL,M-2
26,prophet,27,0.0,0.0,0.0,"(None, 0, 2, 0)",OK,160.471767,True,MSL,C-2
