,pipeline,rank,f1,recall,precision,confusion_matrix,status,elapsed,split,dataset,signal
0,prophet,1,0.9999999999333333,0.9999999999833333,0.9999999999833333,"(None, 0, 0, 6)",OK,8.502019,False,YAHOOA1,real_66
1,prophet,2,0.99999999993,0.99999999998,0.99999999998,"(None, 0, 0, 5)",OK,8.327372,False,YAHOOA1,real_67
2,prophet,3,0.9999999999166667,0.9999999999666667,0.9999999999666667,"(None, 0, 0, 3)",OK,7.481011,False,YAHOOA1,real_4
3,prophet,4,0.9999999999166667,0.9999999999666667,0.9999999999666667,"(None, 0, 0, 3)",OK,7.077271,False,YAHOOA1,real_42
4,prophet,5,0.9999999999,0.99999999995,0.99999999995,"(None, 0, 0, 2)",OK,9.376866,False,YAHOOA1,real_2
5,prophet,6,0.9999999999,0.99999999995,0.99999999995,"(None, 0, 0, 2)",OK,6.352268,False,YAHOOA1,real_32
6,prophet,7,0.9999999999,0.99999999995,0.99999999995,"(None, 0, 0, 2)",OK,7.081522,False,YAHOOA1,real_31
7,prophet,8,0.9999999999,0.99999999995,0.99999999995,"(None, 0, 0, 2)",OK,7.452986,False,YAHOOA1,real_21
8,prophet,9,0.9999999999,0.99999999995,0.99999999995,"(None, 0, 0, 2)",OK,6.8026,False,YAHOOA1,real_1
9,prophet,10,0.99999999985,0.9999999999,0.9999999999,"(None, 0, 0, 1)",OK,7.977584,False,YAHOOA1,real_33
10,prophet,11,0.99999999985,0.9999999999,0.9999999999,"(None, 0, 0, 1)",OK,9.245897,False,YAHOOA1,real_45
11,prophet,12,0.99999999985,0.9999999999,0.9999999999,"(None, 0, 0, 1)",OK,6.445552,False,YAHOOA1,real_10
12,prophet,13,0.99999999985,0.9999999999,0.9999999999,"(None, 0, 0, 1)",OK,7.127522,False,YAHOOA1,real_6
13,prophet,14,0.99999999985,0.9999999999,0.9999999999,"(None, 0, 0, 1)",OK,8.243041,False,YAHOOA1,real_11
14,prophet,15,0.99999999985,0.9999999999,0.9999999999,"(None, 0, 0, 1)",OK,7.310752,False,YAHOOA1,real_5
15,prophet,16,0.99999999985,0.9999999999,0.9999999999,"(None, 0, 0, 1)",OK,6.388592,False,YAHOOA1,real_25
16,prophet,17,0.99999999985,0.9999999999,0.9999999999,"(None, 0, 0, 1)",OK,6.35451,False,YAHOOA1,real_48
17,prophet,18,0.99999999985,0.9999999999,0.9999999999,"(None, 0, 0, 1)",OK,8.327676,False,YAHOOA1,real_58
18,prophet,19,0.99999999985,0.9999999999,0.9999999999,"(None, 0, 0, 1)",OK,6.621818,False,YAHOOA1,real_22
19,prophet,20,0.99999999985,0.9999999999,0.9999999999,"(None, 0, 0, 1)",OK,6.764733,False,YAHOOA1,real_16
20,prophet,21,0.79999999992,0.6666666666444444,0.99999999995,"(None, 0, 1, 2)",OK,8.09797,False,YAHOOA1,real_43
21,prophet,22,0.79999999992,0.6666666666444444,0.99999999995,"(None, 0, 1, 2)",OK,7.844683,False,YAHOOA1,real_41
22,prophet,23,0.79999999992,0.6666666666444444,0.99999999995,"(None, 0, 1, 2)",OK,8.018773,False,YAHOOA1,real_20
23,prophet,24,0.79999999992,0.6666666666444444,0.99999999995,"(None, 0, 1, 2)",OK,10.345391,False,YAHOOA1,real_65
24,prophet,25,0.749999999934375,0.599999999988,0.9999999999666667,"(None, 0, 2, 3)",OK,6.849607,False,YAHOOA1,real_60
25,prophet,26,0.6666666666,0.4999999999875,0.99999999995,"(None, 0, 2, 2)",OK,6.366861,False,YAHOOA1,real_39
26,prophet,27,0.6666666665777777,0.499999999975,0.9999999999,"(None, 0, 1, 1)",OK,6.883694,False,YAHOOA1,real_36
27,prophet,28,0.6666666665777777,0.499999999975,0.9999999999,"(None, 0, 1, 1)",OK,4.442741,False,YAHOOA1,real_54
28,prophet,29,0.6666666665777777,0.499999999975,0.9999999999,"(None, 0, 1, 1)",OK,7.757008,False,YAHOOA1,real_12
29,prophet,30,0.6666666665777777,0.499999999975,0.9999999999,"(None, 0, 1, 1)",OK,6.466735,False,YAHOOA1,real_3
30,prophet,31,0.6666666665777777,0.9999999999,0.499999999975,"(None, 1, 0, 1)",OK,7.301795,False,YAHOOA1,real_63
31,prophet,32,0.6666666665777777,0.9999999999,0.499999999975,"(None, 1, 0, 1)",OK,6.808147,False,YAHOOA1,real_14
32,prophet,33,0.5882352940692042,0.41666666666319446,0.99999999998,"(None, 0, 7, 5)",OK,6.276533,False,YAHOOA1,real_23
33,prophet,34,0.5714285713714286,0.399999999992,0.99999999995,"(None, 0, 3, 2)",OK,6586.015196,False,YAHOOA1,real_62
34,prophet,35,0.4999999999375,0.3333333333222222,0.9999999999,"(None, 0, 2, 1)",OK,7.983702,False,YAHOOA1,real_8
35,prophet,36,0.4999999999375,0.3333333333222222,0.9999999999,"(None, 0, 2, 1)",OK,6.415381,False,YAHOOA1,real_24
36,prophet,37,0.4999999999375,0.3333333333222222,0.9999999999,"(None, 0, 2, 1)",OK,7.604122,False,YAHOOA1,real_19
37,prophet,38,0.39999999995200003,0.24999999999375,0.9999999999,"(None, 0, 3, 1)",OK,6.582563,False,YAHOOA1,real_53
38,prophet,39,0.39999999995200003,0.24999999999375,0.9999999999,"(None, 0, 3, 1)",OK,8.210447,False,YAHOOA1,real_9
39,prophet,40,0.0,0.0,0.0,"(None, 0, 1, 0)",OK,6.453782,False,YAHOOA1,real_50
40,prophet,41,0.0,0.0,0.0,"(None, 0, 2, 0)",OK,7.196029,False,YAHOOA1,real_40
41,prophet,42,0.0,0.0,0.0,"(None, 0, 3, 0)",OK,6.647454,False,YAHOOA1,real_46
42,prophet,43,0.0,0.0,0.0,"(None, 0, 5, 0)",OK,6.204057,False,YAHOOA1,real_47
43,prophet,44,0.0,0.0,0.0,"(None, 0, 3, 0)",OK,6.572212,False,YAHOOA1,real_44
44,prophet,45,0.0,0.0,0.0,"(None, 0, 2, 0)",OK,7.978038,False,YAHOOA1,real_37
45,prophet,46,0.0,0.0,0.0,"(None, 1, 4, 0)",OK,6.33228,False,YAHOOA1,real_52
46,prophet,47,0.0,0.0,0.0,"(None, 0, 3, 0)",OK,6.963017,False,YAHOOA1,real_57
47,prophet,48,0.0,0.0,0.0,"(None, 1, 4, 0)",OK,6.233501,False,YAHOOA1,real_56
48,prophet,49,0.0,0.0,0.0,"(None, 0, 3, 0)",OK,6.299701,False,YAHOOA1,real_51
49,prophet,50,0.0,0.0,0.0,"(None, 1, 4, 0)",OK,6.539114,False,YAHOOA1,real_55
50,prophet,51,0.0,0.0,0.0,"(None, 1, 0, 0)",OK,10.749456,False,YAHOOA1,real_59
